XX,YY,Zb,Zc_slope,Zc_slope_std1,Zc_slope_std2,Zt_slope,Zt_slope_std1,Zt_slope_std2,fractal_parameter,lat,long,window_no,x_center,y_center
2846000,3291000,51.9050627322989,33.3124586815139,34.0293777916675,32.5955395713602,14.7198546307289,9.67325779599692,19.7664514654609,1,28.4938423112618,25.5660529860416,185,2846,3291
3096000,3291000,47.357674664154,31.8686191521913,28.9757490532174,34.7614892511653,16.3795636402286,10.3854003369406,22.3737269435166,1,28.4938423112618,27.8118411963404,187,3096,3291
3346000,3291000,46.7984067334728,31.4743380372362,32.0260091878938,30.9226668865786,16.1502693409996,12.8201332362833,19.4804054457159,1.5,28.4938423112618,30.0576294066392,189,3346,3291
3596000,3291000,36.5113980205819,26.0105337092232,25.4198910070436,26.6011764114028,15.5096693978645,13.4200707798538,17.5992680158752,1.5,28.4938423112618,32.303417616938,191,3596,3291
3846000,3291000,27.5911410133761,20.4777286873196,18.7231202205364,22.2323371541028,13.3643163612631,13.7605503950689,12.9680823274574,1,28.4938423112618,34.5492058272368,193,3846,3291
4096000,3291000,30.5374248455984,22.4201159372065,22.2531996957608,22.5870321786523,14.3028070288146,14.7169254395433,13.8886886180859,1,28.4938423112618,36.7949940375356,195,4096,3291
2596000,3541000,61.3304049738426,37.1085999467211,37.2654694976355,36.9517303958067,12.8867949195996,10.1142818055365,15.6593080336628,1,30.4587609717903,23.3202647757428,219,2596,3541
2846000,3541000,59.7490898396539,36.4003319508381,35.7457440700399,37.0549198316363,13.0515740620223,7.50741050677741,18.5957376172672,1,30.4587609717903,25.5660529860416,221,2846,3541
3096000,3541000,57.8590521146474,35.8956347354585,34.4024326292524,37.3888368416645,13.9322173562696,7.52033254921975,20.3441021633196,1,30.4587609717903,27.8118411963404,223,3096,3541
3346000,3541000,59.6979677291287,36.8894254730071,33.5301997656539,40.2486511803603,14.0808832168855,8.76289121861714,19.3988752151538,1,30.4587609717903,30.0576294066392,225,3346,3541
3596000,3541000,32.8857683582619,24.5434441212067,23.4257156565681,25.6611725858452,16.2011198841515,14.539439810825,17.862799957478,1,30.4587609717903,32.303417616938,227,3596,3541
3846000,3541000,33.4681024162913,23.9290071249666,23.6240409212673,24.2339733286658,14.3899118336419,14.1307722954498,14.649051371834,1.5,30.4587609717903,34.5492058272368,229,3846,3541
4096000,3541000,42.4740081313687,25.0505118641622,25.3966997651624,24.7043239631621,7.62701559695568,5.84595432622111,9.40807686769026,1.5,30.4587609717903,36.7949940375356,231,4096,3541
2596000,3791000,42.9921822718132,29.3478330073742,27.7021609274023,30.9935050873462,15.7034837429352,14.2492853781103,17.1576821077602,1,32.3844598434843,23.3202647757428,255,2596,3791
2846000,3791000,51.2846105059971,33.6203054313448,30.6462536987176,36.594357163972,15.9560003566925,10.7717297519785,21.1402709614065,1,32.3844598434843,25.5660529860416,257,2846,3791
3096000,3791000,41.8471613862363,27.5565750088794,26.822200006409,28.2909500113499,13.2659886315225,9.70704754147263,16.8249297215724,1,32.3844598434843,27.8118411963404,259,3096,3791
3346000,3791000,46.8810740231112,31.6477084873738,30.9015425681854,32.3938744065622,16.4143429516364,16.4481337671752,16.3805521360977,1,32.3844598434843,30.0576294066392,261,3346,3791
3596000,3791000,48.9132668179245,30.2768675860374,28.1549125739177,32.3988225981571,11.6404683541503,8.39048149514671,14.8904552131539,1,32.3844598434843,32.303417616938,263,3596,3791
3846000,3791000,39.3628841091472,27.2559791122864,26.0337742329256,28.4781839916472,15.1490741154256,13.2376531960212,17.06049503483,1.5,32.3844598434843,34.5492058272368,265,3846,3791
4096000,3791000,19.9854552877975,17.9718395216709,16.5632989476161,19.3803800957257,15.9582237555443,12.2511275352446,19.665319975844,1.5,32.3844598434843,36.7949940375356,267,4096,3791
